CUSTOMER_NUMBER,CUSTOMER_NAME,QTY_SHIPPED,ORGID,GOLIVE_DATE,CANCEL_DATE,CANCEL_TYPE,CITY,STATE,ITEM_DESCRIPTION,NOTES,REPORT_PERIOD,REPORT_SEQ,VENDOR_NAME,ERROR_CODE,SALESORDERID,AMOUNT
32632,Health Care Institute of North Florida,5,344192bc6448a828,2016-02-18 00:00:00,,,Lake City,FL,BUNDLED,,2018-02-01 00:00:00,308016,eCW,0,dedd86e3-ed4f-e811-8127-e0071b6a7041,19.580000000000002
309937,Mancelona Family Practice,5,e088f3b2355f4ab4,2017-10-31 00:00:00,,,MANCELONA,MI,BUNDLED,,2018-02-01 00:00:00,309739,eCW,0,e0dd86e3-ed4f-e811-8127-e0071b6a7041,19.580000000000002
309845,Health Center at Faith Mission,5,972042ed692f6c4,2017-08-28 00:00:00,,,Columbus,OH,BUNDLED,3.5 FTE,2018-02-01 00:00:00,309593,eCW,0,dbdd86e3-ed4f-e811-8127-e0071b6a7041,19.580000000000002
309964,Omega Group,4,f817ee95126beb95,2017-07-31 00:00:00,,,Orlando,FL,BUNDLED,,2018-02-01 00:00:00,309382,eCW,0,e6dd86e3-ed4f-e811-8127-e0071b6a7041,15.67
24989,One Life Medical Center,5,744c476c170e8f50,2014-03-10 00:00:00,,,Queen Creek,AZ,RCM - IMO,,2018-02-01 00:00:00,307595,eCW,0,b8e883e9-ed4f-e811-8127-e0071b6a7041,19.580000000000002
303410,Fresno Long Term Care Medical Group Inc,5,83bdc0fc90959578,2016-02-05 00:00:00,,,Fresno,CA,BUNDLED,,2018-02-01 00:00:00,308264,eCW,0,e2e883e9-ed4f-e811-8127-e0071b6a7041,19.580000000000002
308171,Franklin Clinic,5,8a6f968e7e0ff0e,2017-04-10 00:00:00,,,Kerrville,TX,BUNDLED,,2018-02-01 00:00:00,308916,eCW,0,dee883e9-ed4f-e811-8127-e0071b6a7041,19.580000000000002
29659,From Pain to Wellness,5,bfde3bc4dde772e3,2017-04-30 00:00:00,,,Oakbrook Terrace,IL,BUNDLED,,2018-02-01 00:00:00,309395,eCW,0,dce883e9-ed4f-e811-8127-e0071b6a7041,19.580000000000002
10647,"Frisco Primary Care, P.A",5,9efae1892bb599c1,2017-05-04 00:00:00,,,Frisco,TX,IMO,,2018-02-01 00:00:00,309413,eCW,0,dfe883e9-ed4f-e811-8127-e0071b6a7041,19.580000000000002
305629,"Florence Medical Associates, LLC",5,7743e8297d677f92,2016-08-08 00:00:00,,,Florence,AL,BUNDLED,,2018-02-01 00:00:00,308542,eCW,0,e8e883e9-ed4f-e811-8127-e0071b6a7041,19.580000000000002
21347,Growing Together Pediatrics,5,2201f7f6af71e707,2017-10-21 00:00:00,,,Orlando,FL,BUNDLED,,2018-02-01 00:00:00,309958,eCW,0,ebe883e9-ed4f-e811-8127-e0071b6a7041,19.580000000000002
309915,Hometown Urgent Care,8,b429bfd94213b45d,2017-08-07 00:00:00,,,Dyersburg,TN,BUNDLED,,2018-02-01 00:00:00,309250,eCW,0,f4e883e9-ed4f-e811-8127-e0071b6a7041,31.330000000000002
307546,Infectious Disease Consultants ,5,97590ce36a01ac0c,2017-03-06 00:00:00,,,NEWARK,DE,BUNDLED,,2018-02-01 00:00:00,309118,eCW,0,fbe883e9-ed4f-e811-8127-e0071b6a7041,19.580000000000002
18113,Infectious Diseases Consultants,6,4531edc2a775733b,2016-07-22 00:00:00,,,Denver ,CO,IMO,,2018-02-01 00:00:00,308487,eCW,0,3de983e9-ed4f-e811-8127-e0071b6a7041,23.5
31956,Knox County General Health District,4,2e9748e2e2d0f08d,2016-02-19 00:00:00,,,Mount Vernon,OH,BUNDLED,,2018-02-01 00:00:00,308017,eCW,0,70e983e9-ed4f-e811-8127-e0071b6a7041,15.67
1954,Knott Street Dermatology,5,3db6c6d9a4dfedda,2016-10-18 00:00:00,,,Portland,OR,IMO,,2018-02-01 00:00:00,308641,eCW,0,71e983e9-ed4f-e811-8127-e0071b6a7041,19.580000000000002
30207,Magnolia Medical Arts,5,39d27b71a116c8d1,2016-08-01 00:00:00,,,Parsons,TN,IMO,,2018-02-01 00:00:00,308511,eCW,0,78e983e9-ed4f-e811-8127-e0071b6a7041,19.580000000000002
305326,Denver Indian Health and Family Services,7,d4f47524a524660f,2017-01-30 00:00:00,,,Denver,CO,BUNDLED,,2018-02-01 00:00:00,309044,eCW,0,c2e983e9-ed4f-e811-8127-e0071b6a7041,27.42
307673,Desert Surgical Associates,6,39fbe6f084582ac7,2017-03-21 00:00:00,,,Las Vegas,NV,IMO,,2018-02-01 00:00:00,308856,eCW,0,bfe983e9-ed4f-e811-8127-e0071b6a7041,23.5
12717,Applecare Hospitalists Medical Group,9,6908ef5e0fe51b12,2017-06-30 00:00:00,,,Downey,CA,IMO,,2018-02-01 00:00:00,309324,eCW,0,b82e7cef-ed4f-e811-8127-e0071b6a7041,35.25
302622,Arizona Premier Surgery PLLC   ,6,c432e98833c1b600,2015-12-11 00:00:00,,,485 S. Dobson Road Suite 115,AZ,BUNDLED,,2018-02-01 00:00:00,307741,eCW,0,b62e7cef-ed4f-e811-8127-e0071b6a7041,23.5
32560,Gramercy Gynecology,6,8fe2e172dbefdcbc,2017-01-16 00:00:00,,,NEW YORK,NY,IMO,,2018-02-01 00:00:00,308995,eCW,0,ed2f7cef-ed4f-e811-8127-e0071b6a7041,23.5
25219,Hamilton County Health Department,6,92ec6163986dda9e,2017-09-29 00:00:00,,,Chattanooga,FL,IMO,,2018-02-01 00:00:00,309697,eCW,0,ee2f7cef-ed4f-e811-8127-e0071b6a7041,23.5
30935,Pediatric and Adolescent Center of Northwest Houston,6,bd3179ab5bc813c4,2016-04-06 00:00:00,,,Tomball,TX,IMO,,2018-02-01 00:00:00,308147,eCW,0,16d776f5-ed4f-e811-8127-e0071b6a7041,23.5
15298,Pediatric Associates,6,3f2072e9d4cbf4d8,2017-10-12 00:00:00,,,NJ-New Jersey,NJ,IMO,,2018-02-01 00:00:00,309492,eCW,0,1ad776f5-ed4f-e811-8127-e0071b6a7041,23.5
309104,Slidell Memorial,6,1e0de216414c9d2d,2017-05-08 00:00:00,,,Slidell,LA,IMO,,2018-02-01 00:00:00,309154,eCW,0,1fd776f5-ed4f-e811-8127-e0071b6a7041,23.5
23084,Pain Management,6,2fc4fcda84014f3c,2017-10-31 00:00:00,,,Brooklyn,NY,IMO,,2018-02-01 00:00:00,309738,eCW,0,17d776f5-ed4f-e811-8127-e0071b6a7041,23.5
21779,HCA - Medical City Dallas Hospital,7,8c0a8e32356da533,2017-07-13 00:00:00,,,Dallas,TX,IMO,,2018-02-01 00:00:00,309349,eCW,0,73d776f5-ed4f-e811-8127-e0071b6a7041,27.42
22123,MTT Corp - Harris Family Medical Center,7,c8a1867657f6400aa6e038ded820fb3f,2017-10-01 00:00:00,,,Melbourne,FL,Free Trial,Free Trial Converted - to start billing 10/1/2017 (7FTE),2018-02-01 00:00:00,309713,eCW,0,78d776f5-ed4f-e811-8127-e0071b6a7041,27.42
32706,Lifespring Womens Healthcare,6,d1f7dbb5013ee8bf,2015-10-05 00:00:00,,,Bentonville,AR,BUNDLED,,2018-02-01 00:00:00,307952,eCW,0,83d776f5-ed4f-e811-8127-e0071b6a7041,23.5
307679,Tarrant County Texas,6,73d508609c24458d,2017-11-13 00:00:00,,,Fortworth,TX,IMO,,2018-02-01 00:00:00,309773,eCW,0,80d776f5-ed4f-e811-8127-e0071b6a7041,23.5
310354,Orthopaedic Associates,7,8f2aa29a5eb2c37e,2017-10-16 00:00:00,,,CRANSTON,RI,BUNDLED,,2018-02-01 00:00:00,309511,eCW,0,79d776f5-ed4f-e811-8127-e0071b6a7041,27.42
302845,Texas Cardiovascular Institute    ,7,1bd4552b8a7b9da1,2016-05-02 00:00:00,,,Forth Worth,TX,BUNDLED,,2018-02-01 00:00:00,308208,eCW,0,84d776f5-ed4f-e811-8127-e0071b6a7041,27.42
24221,"Carolina Heart and Leg Center, P.A.",7,5045789cc1965e77,2017-07-01 00:00:00,,,Fayetteville,NC,BUNDLED,,2018-02-01 00:00:00,309325,eCW,0,31097bfb-ed4f-e811-8127-e0071b6a7041,27.42
306838,California Neurosurgical Institute,7,fb4c3900890f1a33,2017-01-12 00:00:00,,,Valencia,CA,BUNDLED,,2018-02-01 00:00:00,308984,eCW,0,32097bfb-ed4f-e811-8127-e0071b6a7041,27.42
28707,Center for Family Health,7,94b5887e16254c4e,2017-04-06 00:00:00,,,Emmalena,KY,IMO,,2018-02-01 00:00:00,308902,eCW,0,38097bfb-ed4f-e811-8127-e0071b6a7041,27.42
16264,"Radiology Associates of Fox Valley, S.C",7,10c26fa58f66e0a7,2016-09-09 00:00:00,,,Neenah,WI,IMO,,2018-02-01 00:00:00,308341,eCW,0,37097bfb-ed4f-e811-8127-e0071b6a7041,27.42
305511,Regional Medical Center at Lubec,7,21e8161bee05e912,2016-10-03 00:00:00,,,Lubec,ME,BUNDLED,,2018-02-01 00:00:00,308584,eCW,0,3d097bfb-ed4f-e811-8127-e0071b6a7041,27.42
311281,Rockaway Medical Care P.C.,8,a66af3a345f32070,2017-11-10 00:00:00,,,BROOKLYN,NY,IMO,,2018-02-01 00:00:00,309767,eCW,0,3e097bfb-ed4f-e811-8127-e0071b6a7041,31.330000000000002
310405,Waterville Family Practice,7,5175245847a78bb6,2017-09-05 00:00:00,,,Waterville,OH,BUNDLED,,2018-02-01 00:00:00,309610,eCW,0,45097bfb-ed4f-e811-8127-e0071b6a7041,27.42
27794,Vanguard Medical Corporation,7,a9379b5e5b2664c9,2017-01-09 00:00:00,,,Shafter,CA,IMO,,2018-02-01 00:00:00,308977,eCW,0,49097bfb-ed4f-e811-8127-e0071b6a7041,27.42
29533,Yehowa Medical Services,7,84d1c4fe7fb8df0,2017-05-15 00:00:00,,,Los Angeles,CA,IMO,,2018-02-01 00:00:00,309177,eCW,0,4a097bfb-ed4f-e811-8127-e0071b6a7041,27.42
304618,Plantation Pediatrics,8,b8acb84ca7234991,2016-07-12 00:00:00,,,Charleston,SC,RCM - IMO,,2018-02-01 00:00:00,308462,eCW,0,ea097bfb-ed4f-e811-8127-e0071b6a7041,31.330000000000002
304344,ProHealth Family Physicians  ,8,9888869bee69a553,2016-08-01 00:00:00,,,Saint Cloud,FL,BUNDLED,,2018-02-01 00:00:00,308514,eCW,0,f0097bfb-ed4f-e811-8127-e0071b6a7041,31.330000000000002
32561,Rainbow Pediatrics,8,829d9d5819faca01,2016-05-07 00:00:00,,,New Albany,OH,IMO,,2018-02-01 00:00:00,308220,eCW,0,e9097bfb-ed4f-e811-8127-e0071b6a7041,31.330000000000002
307592,Tennessee Maternal Fetal Medicine,9,e5947f7df87c7fb4,2017-04-24 00:00:00,,,Nashville,TN,BUNDLED,,2018-02-01 00:00:00,308957,eCW,0,557a0222-ee4f-e811-8127-e0071b6a7041,35.25
7369,Longwood Orthopedic Orthopedic Associates,9,52cb3e48a6bb195a,2016-09-03 00:00:00,,,Chestnut Hill,MA,RCM - IMO,,2018-02-01 00:00:00,308319,eCW,0,667a0222-ee4f-e811-8127-e0071b6a7041,35.25
30644,DCH - Metropolitan Medical Specialists,9,6f49d1ed30aef0c3,2015-06-15 00:00:00,,,Lanham,MD,RCM - IMO,,2018-02-01 00:00:00,307546,eCW,0,6e7a0222-ee4f-e811-8127-e0071b6a7041,35.25
307262,Columbia Basin Family Medicine,9,26f4fbe26992ee3e,2017-01-16 00:00:00,,,Ephrata,WA,BUNDLED,,2018-02-01 00:00:00,308998,eCW,0,697a0222-ee4f-e811-8127-e0071b6a7041,35.25
306806,Sacred Circle Health Care,10,be5ef7ab2cd3e91d,2017-03-06 00:00:00,,,Salt Lake City,UT,BUNDLED,,2018-02-01 00:00:00,309123,eCW,0,677a0222-ee4f-e811-8127-e0071b6a7041,39.17
304139,"Gastroenterology Clinic of SA, P.A.",8,d43a41d3215c4a62,2016-05-06 00:00:00,,,San Antonio,TX,IMO,,2018-02-01 00:00:00,308219,eCW,0,6f7a0222-ee4f-e811-8127-e0071b6a7041,31.330000000000002
308088,Hebert Medical Group,9,33f197184e909eb1,2017-05-30 00:00:00,,,Eunice,LA,BUNDLED,,2018-02-01 00:00:00,309202,eCW,0,717a0222-ee4f-e811-8127-e0071b6a7041,35.25
302785,Family Health Center of Mission ,9,cc5d6b066437c144,2016-01-01 00:00:00,,,Mission,TX,IMO,4b9519e3bd174564 - old org ID,2018-02-01 00:00:00,307780,eCW,0,7d7a0222-ee4f-e811-8127-e0071b6a7041,35.25
32055,Heiden Orthopedics LLC,9,e857e6accc190280,2016-08-26 00:00:00,,,Park City,UT,BUNDLED,6.5 FTE,2018-02-01 00:00:00,308285,eCW,0,c57a0222-ee4f-e811-8127-e0071b6a7041,35.25
31158,Owensville Primary Care,9,aa201411f1057bb0,2016-01-01 00:00:00,,,west river,MD,IMO,,2018-02-01 00:00:00,307773,eCW,0,d07a0222-ee4f-e811-8127-e0071b6a7041,35.25
309002,Pediatrics of Central Florida,9,8f583f8c01b087f4,2017-07-31 00:00:00,,,Kissimmee,FL,BUNDLED,,2018-02-01 00:00:00,309379,eCW,0,fc7a0222-ee4f-e811-8127-e0071b6a7041,35.25
303285,Share Medical Center,9,6f96b89ef247552b,2016-02-01 00:00:00,,,Alva,OK,BUNDLED,,2018-02-01 00:00:00,308259,eCW,0,007b0222-ee4f-e811-8127-e0071b6a7041,35.25
303450,Sheridan Community Hospital,8,c7b1191c3b7ef0e2,2016-04-20 00:00:00,,,Sheridan,MI,BUNDLED,,2018-02-01 00:00:00,308180,eCW,0,047b0222-ee4f-e811-8127-e0071b6a7041,31.330000000000002
28614,SMMH - Prizm Pain Specialists   ,9,a681bd624e3fb8f6,2016-01-14 00:00:00,,,Canton,MI,BUNDLED,,2018-02-01 00:00:00,307807,eCW,0,3a7b0222-ee4f-e811-8127-e0071b6a7041,35.25
3303,Skin Solutions Dermatology and Skin Cancer Surgery PC,8,8c0147f54ce9bdb4,2017-11-03 00:00:00,,,Franklin,TN,BUNDLED,Taking over from retail 11/3/2017,2018-02-01 00:00:00,309746,eCW,0,377b0222-ee4f-e811-8127-e0071b6a7041,31.330000000000002
32809,"Best Value Healthcare, LLC",9,87e409e4aea3b364,2015-11-23 00:00:00,,,West Palm Beach,FL,BUNDLED,,2018-02-01 00:00:00,307720,eCW,0,467b0222-ee4f-e811-8127-e0071b6a7041,35.25
305773,Beyond Urgent Care Management LLC,9,f6d220628204558f,2016-08-18 00:00:00,,,Bethel,CT,RCM - IMO,9.5 FTE,2018-02-01 00:00:00,308570,eCW,0,4b7b0222-ee4f-e811-8127-e0071b6a7041,35.25
303166,Cabinet Peak Medical Group,9,c7ee92d7399b4d80,2016-01-06 00:00:00,,,LIBBY,MT,IMO,,2018-02-01 00:00:00,307792,eCW,0,617b0222-ee4f-e811-8127-e0071b6a7041,35.25
18880,Cape Cod Ear Nose and Throat Specialist,9,ea8719d8c028501,2017-05-29 00:00:00,,,Hyannis,MA,BUNDLED,Taking over from retail 5/29/2017,2018-02-01 00:00:00,309194,eCW,0,937b0222-ee4f-e811-8127-e0071b6a7041,35.25
309563,Austin Pulmonary Consultants,10,549af3eba9f06eaf,2017-10-30 00:00:00,,,Austin ,TX,BUNDLED,,2018-02-01 00:00:00,309727,eCW,0,4afa1428-ee4f-e811-8127-e0071b6a7041,39.17
308704,Prime Healthcare Management Inc Lake Huron Medical Center Urgent Care,10,b0bc01395a0857ea,2017-04-23 00:00:00,,,Fort Gratiot,MI,IMO,,2018-02-01 00:00:00,308955,eCW,0,78fa1428-ee4f-e811-8127-e0071b6a7041,39.17
307629,Radnet Breastlink of New York,10,c9af4e56c8622334,2017-04-03 00:00:00,,,New York,NY,IMO,,2018-02-01 00:00:00,308888,eCW,0,a1fa1428-ee4f-e811-8127-e0071b6a7041,39.17
306678,"Christiana Spine Center, LLC",11,1107760a7121b674,2016-10-28 00:00:00,,,NEWARK,DE,BUNDLED,11.5 FTE,2018-02-01 00:00:00,308704,eCW,0,cdfa1428-ee4f-e811-8127-e0071b6a7041,43.08
308086,Huntington Heart Center,11,47dc549cabfd297f,2017-04-03 00:00:00,,,HUNTINGTON,NV,BUNDLED,,2018-02-01 00:00:00,308884,eCW,0,c9fa1428-ee4f-e811-8127-e0071b6a7041,43.08
304565,Medico,11,27f16494f2d25345,2016-06-02 00:00:00,,,Iriving,TX,BUNDLED,,2018-02-01 00:00:00,308386,eCW,0,6e8e1b2e-ee4f-e811-8127-e0071b6a7041,43.08
3904,"Laredo Premier Healthcare, PLLC ",12,6e0133baae461e72,2017-07-16 00:00:00,,,Laredo,TX,BUNDLED,Taking over from retail 7/16/2017 - f00fd64b0d5159ab,2018-02-01 00:00:00,309351,eCW,0,cafa1428-ee4f-e811-8127-e0071b6a7041,47.0
304120,Washington Center for Pain Management ,11,f70740131f05012f,2016-08-01 00:00:00,,,Bellevue,WA,BUNDLED,,2018-02-01 00:00:00,308512,eCW,0,bd8e1b2e-ee4f-e811-8127-e0071b6a7041,43.08
21720,Chambers Memorial Hospital,12,8f1180708000450f,2017-05-16 00:00:00,,,Danville,AR,BUNDLED,,2018-02-01 00:00:00,309178,eCW,0,e48e1b2e-ee4f-e811-8127-e0071b6a7041,47.0
306793,Guidewell Sanitas I and affiliates dba CliniSanitas,12,fa56958ae905162d,2016-11-28 00:00:00,,,Orange,CT,BUNDLED,,2018-02-01 00:00:00,308770,eCW,0,e28e1b2e-ee4f-e811-8127-e0071b6a7041,47.0
31984,"Prime Healthcare Management Inc., Lake Huron Medical Group",12,2bb194064195038c,2016-11-30 00:00:00,,,Port Huron,MI,IMO,,2018-02-01 00:00:00,308773,eCW,0,e78e1b2e-ee4f-e811-8127-e0071b6a7041,47.0
19326,Pittsburgh Mercy Health System,11,5e4745eb0423268d,2016-12-06 00:00:00,,,Pittsburgh,PA,IMO,,2018-02-01 00:00:00,308801,eCW,0,e38e1b2e-ee4f-e811-8127-e0071b6a7041,43.08
303873,Community Health Wellness Partners of Logan County,13,28c6536fb3bcadef,2016-03-07 00:00:00,,,West Liberty,OH,BUNDLED,7.5 FTE,2018-02-01 00:00:00,308052,eCW,0,ee8e1b2e-ee4f-e811-8127-e0071b6a7041,50.92
303829,Red Rocks Pediatrics PC,12,ed8b3e5887908976,2017-03-14 00:00:00,,,Westminster,CO,BUNDLED,Switch to added value bundle will take over 3/14/2017 (paid retail year one),2018-02-01 00:00:00,309146,eCW,0,77d41334-ee4f-e811-8127-e0071b6a7041,47.0
302809,Unity Medical Clinic   ,15,d46cc51142f3b7a0,2016-02-29 00:00:00,,,Manchester,TN,BUNDLED,,2018-02-01 00:00:00,308032,eCW,0,fdd41334-ee4f-e811-8127-e0071b6a7041,58.75
32455,PedIM Healthcare,13,52488ee49979c7b7,2015-11-17 00:00:00,,,1990 N Prospect Avenue,FL,BUNDLED,11.5 FTE,2018-02-01 00:00:00,307711,eCW,0,fed41334-ee4f-e811-8127-e0071b6a7041,50.92
303459,Womens Health Associates,13,55e104ce404a2188,2016-04-18 00:00:00,,,Boise,ID,IMO,,2018-02-01 00:00:00,308172,eCW,0,03d51334-ee4f-e811-8127-e0071b6a7041,50.92
32182,Chestnut Family Health Center       ,13,d21b4a4636b912ef,2015-09-15 00:00:00,,,Bloomington,IL,BUNDLED,11.75 FTE,2018-02-01 00:00:00,307856,eCW,0,3ad51334-ee4f-e811-8127-e0071b6a7041,50.92
29288,Resurrection Health ,15,f3196474ffdb5708,2015-02-09 00:00:00,2018-03-31 00:00:00,FULL,Memphis,TN,RCM - IMO,Full Cancellation 3/31/2018,2018-02-01 00:00:00,307664,eCW,0,5a06183a-ee4f-e811-8127-e0071b6a7041,58.75
7252,"Comprehensive Womens Medical Care, P.C",18,14910375ba00570f,2016-02-26 00:00:00,,,Jamaica,NY,IMO,,2018-02-01 00:00:00,308027,eCW,0,7a06183a-ee4f-e811-8127-e0071b6a7041,70.5
305859,"Brown Dermatology, Inc.   ",18,bbd389b275f7688e,2016-09-05 00:00:00,,,Providence,RI,BUNDLED,16.25 FTE,2018-02-01 00:00:00,308326,eCW,0,2a381c40-ee4f-e811-8127-e0071b6a7041,70.5
7909,Primary Health Center,18,76c9023b57458f58,2016-12-12 00:00:00,,,Trenton,GA,IMO,,2018-02-01 00:00:00,308658,eCW,0,31381c40-ee4f-e811-8127-e0071b6a7041,70.5
305794,Good Samaritan Outreach Services,1,29d0e5aa0275b1d7,2016-08-22 00:00:00,,,Kearney,NE,IMO,,2018-02-01 00:00:00,308278,eCW,0,6e0cb06d-eb4f-e811-8127-e0071b6a7041,3.92
23239,LMW Medical,1,91b54cbfc83db251,2014-02-10 00:00:00,,,219-02 Linden BLVD,NY,RCM - IMO,,2018-02-01 00:00:00,307588,eCW,0,dd50c773-eb4f-e811-8127-e0071b6a7041,3.92
32454,Livia E Hantos MD  ,1,536afea22c166703,2015-11-18 00:00:00,,,Arlington Hts,IL,BUNDLED,,2018-02-01 00:00:00,307713,eCW,0,e250c773-eb4f-e811-8127-e0071b6a7041,3.92
19656,Logan Square Family Health Center,1,b0dab6e96946798f,2017-04-26 00:00:00,,,Chicago,IL,RCM - IMO,,2018-02-01 00:00:00,309387,eCW,0,de50c773-eb4f-e811-8127-e0071b6a7041,3.92
303124,"Lisa J. Finkelstein, DO, FACOS   ",1,3d0824942e54990,2016-06-30 00:00:00,,,JACKSON,WY,IMO,,2018-02-01 00:00:00,308430,eCW,0,df50c773-eb4f-e811-8127-e0071b6a7041,3.92
310372,Mafot Medical Associates,1,bfcf356a9ba75d34,2017-10-16 00:00:00,,,Glen Burnie ,MD,RCM - IMO,,2018-02-01 00:00:00,309520,eCW,0,f950c773-eb4f-e811-8127-e0071b6a7041,3.92
308486,Madaiah Revana MD,1,ee2d2abad822c02,2017-07-24 00:00:00,,,Humble,TX,BUNDLED,,2018-02-01 00:00:00,309367,eCW,0,0f51c773-eb4f-e811-8127-e0071b6a7041,3.92
24455,"Manuel R. Carrasco, MD, PA",1,520e17d1199bbcef,2015-10-27 00:00:00,,,Big Springs ,TX,RCM - IMO,,2018-02-01 00:00:00,307976,eCW,0,2b51c773-eb4f-e811-8127-e0071b6a7041,3.92
307572,"MAG - PMC Badar Ahmed, M.D., P.C",1,4fcf9b078286ae26,2017-03-16 00:00:00,,,Grand Blanc,MI,IMO,,2018-02-01 00:00:00,309148,eCW,0,2651c773-eb4f-e811-8127-e0071b6a7041,3.92
310664,"Marco Rodriguez, MD",1,fe90203a54ceb8d7,2017-09-07 00:00:00,,,Baton Rouge,LA,BUNDLED,,2018-02-01 00:00:00,309619,eCW,0,3451c773-eb4f-e811-8127-e0071b6a7041,3.92
310606,Mays Dermatology and Cosmetic Center,1,c831f39ceb02cbcc,2017-09-25 00:00:00,,,Louisville,KY,BUNDLED,,2018-02-01 00:00:00,309676,eCW,0,4551c773-eb4f-e811-8127-e0071b6a7041,3.92
306975,"MAG - Obstetrics & Gynecology of Greater Flint,, P.C.",1,56530e173a13607a,2017-01-03 00:00:00,,,FLINT,MI,IMO,,2018-02-01 00:00:00,308964,eCW,0,2e51c773-eb4f-e811-8127-e0071b6a7041,3.92
309105,Margaret J. Starr MD,1,f17f4ac6e1841019,2017-05-01 00:00:00,,,POMPANO BEACH,FL,BUNDLED,1.5 FTE,2018-02-01 00:00:00,309401,eCW,0,3751c773-eb4f-e811-8127-e0071b6a7041,3.92
22924,MD Laser Medicine & Surgery,1,f233a23010fd3fbc,2017-09-01 00:00:00,,,Columbia,MD,BUNDLED,,2018-02-01 00:00:00,309603,eCW,0,3c51c773-eb4f-e811-8127-e0071b6a7041,3.92
306987,MB Pediatrics,1,eb12b28513d63b54,2016-12-16 00:00:00,,,NEWBURGH,NY,IMO,,2018-02-01 00:00:00,308665,eCW,0,4b51c773-eb4f-e811-8127-e0071b6a7041,3.92
305659,MedPrem Urgent Care,2,980a6f1bd566ba4,2016-09-06 00:00:00,,,SUNNYVALE,TX,BUNDLED,,2018-02-01 00:00:00,308335,eCW,0,9b51c773-eb4f-e811-8127-e0071b6a7041,7.83
29520,"Me and My Doctor, Ltd.       ",1,c33f407632e59cd9,2015-02-16 00:00:00,,,Elk Grove Village,IL,RCM - IMO,,2018-02-01 00:00:00,307671,eCW,0,a551c773-eb4f-e811-8127-e0071b6a7041,3.92
309253,Melanie Kelly MD,1,a2fe2a74d8b9f4c6,2017-07-21 00:00:00,,,Honolulu,HI,IMO,,2018-02-01 00:00:00,309362,eCW,0,d451c773-eb4f-e811-8127-e0071b6a7041,3.92
308210,"Melissa Crosby, MD, PLLC",1,fbbd64f64981a429,2017-03-10 00:00:00,,,Sugar Land,TX,BUNDLED,,2018-02-01 00:00:00,309135,eCW,0,dc51c773-eb4f-e811-8127-e0071b6a7041,3.92
